Id,Text,Option1,Option2,Option3,Option4,Answer,Sure
684,Семантический треугольник,"Соединяет понятия, категории",Служит для толкования понятий,"Соединяет значение явления (предмета), его смысл и само называемое явление",,2,TRUE
667,"Превращение того, что прежде выглядело отрицательным, в нечто положительное, является:",Манипуляцией,Одной из терапевтических техник,Обманом клиента,,1,TRUE
703,Ониомания – что это?,"Синоним ""пиромании""",Интернет зависимость,Зависимость от смс сообщений,Шопоголизм,3,TRUE
704,Критерий аддикции к трате денег:,Частое посещение магазинов,Стремление покупать дорогие вещи,"Стремление приобретать вещи на распродажах, в дисконт-центрах",Финансовые проблемы в связи с невозможностью прекратить совершать ненужные покупки,3,TRUE
691,"Отметьте показатель несуицидального аутогрессивного поведения, являющийся фактором риска суицидального поведения",Профессиональное занятие экстремальным видом спорта,Повышенный интерес к проблемам жизни и смерти,Принадлежность к молодежной субкультуре,Курение анаши,0,0
669,"Для того, чтобы покончить с конфликтами в семье клиента, необходимо:",Выработать эффективный способ решения конфликта,Найти способы избегания конфликтов,Создать атмосферу замалчивания конфликтов,,0,TRUE
670,Гуманитарные науки отличаются от естественных ...,"Предметом, например: «Человек», «Машина» и т.д.",Методом: Генерализующий или Индивидуализирующий,Оперируют Понятиями или Образами,Никаких отличий,2,0
723,Кто из перечисленных исследователей сформулировал личностно-центрированный подход консультирования?,А.Эллис,К.Хорни,К.Роджерс,,2,TRUE
705,Что такое аддиктивное поведение?,Склонность находиться в отношениях с зависимыми людьми,Пагубная страсть к зависимости,Стремление к уходу от реальности посредством изменения своего психического состояния,"Форма девиантного поведения, характеризующаяся склонностью к нарушениям адаптации",2,TRUE
721,Гипотезы о возникновении психосоматических расстройств:,следствие стресса,следствие внутриличностного конфликта,всё перечисленное,,2,TRUE
715,Алекситемия - это ...,негативизм,типичная неспособность выражать переживаемые чувства,мутизм,,1,TRUE
699,В чем общность всех зависимостей на биологическом уровне?,Нарушения в свертывающей системе крови,Формирование сверхценной идеи,Нейрохимические нарушения в центральной нервной системе,Навязчивое стремление изменить сознание,2,TRUE
692,Тип личности наиболее предрасположенной к аутоагрессивному поведению,Шизоидная личность,Обсессивно-компульсивная личность,Ананкастная личность,Истерическая личность,0,0
679,Сколько протагонистов в социодраме?,Один,"Столько же, сколько тем",Два и более,,2,TRUE
718,Психосоматическое расстройство проявляется ...,апатией,амбивалентностью,различными функциональными нарушениями органов и систем,,2,TRUE
